# en-extract 잔존 한글 라인 등재부 (C3 — bundle §7)
# 필터: 한글 포함 && 콘텐츠 열이 //, /*, *, <!-- 로 시작하지 않는 라인 (C-1 수정 앵커형)
# 형식: <repo-relative file>:<line>: <사유>
# 유지보수 계약: 각 레인 페이즈가 자기 파일의 해소 라인을 삭제하고, 페이즈 종료 시
#   `node scripts/check-i18n-parity.mjs --allowlist-check` 로 등재 수 == 스캔 수 일치를 검증한다.
# 생성: 2026-09-13T05:50:31.299Z / 총 51건

web/src/views/applications/AppProjectList.vue:29: value·데이터값(§3-1-3 — 백엔드 한국어 enum, 번역 금지)
web/src/composables/useDbmsSqlExecution.js:18: 백엔드 Environment 한국어값 비교 상수(§3-1-2) — 원문 byte 불변, 표시 아님(H 페이즈 useDbms* 이동분)
web/src/composables/useLayoutMenus.js:48: 비교·송신값 후보(§3-1 검증 필요)
web/src/composables/useMonitorDashboardPanels.js:41: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:59: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:61: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:335: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:336: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:337: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:352: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:353: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:362: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:363: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:364: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:365: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:366: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:367: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:368: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:369: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:370: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:373: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:374: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:376: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:377: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
web/src/composables/useMonitorDashboardPanels.js:378: §3-0 비교·데이터·송신 토큰 — seed unit 값 byte 불변, 표시만 렌더 번역
